Barcode	Set	CellType
Cell-6788	P11	C11
Cell-6790	P11	C53
Cell-6803	P11	C9
Cell-6804	P11	C8
Cell-6818	P11	C53
Cell-6830	P11	C17
Cell-6841	P11	C9
Cell-6843	P11	C55
Cell-6870	P11	C24
Cell-6872	P11	C4
Cell-6873	P11	C4
Cell-6875	P11	C40
Cell-6888	P11	C55
Cell-6890	P11	C12
Cell-6891	P11	C13
Cell-6892	P11	C25
Cell-6905	P11	C1
Cell-6906	P11	C8
Cell-6917	P11	C8
Cell-6919	P11	C40
Cell-6922	P11	C31
Cell-6929	P11	C16
Cell-6932	P11	C8
Cell-6968	P11	C1
Cell-6969	P11	C17
Cell-6971	P11	C4
Cell-6985	P11	C35
Cell-6989	P11	C1
Cell-6990	P11	C22
Cell-6991	P11	C53
Cell-7001	P11	C9
Cell-7016	P11	C1
Cell-7033	P11	C9
Cell-7034	P11	C5
Cell-7041	P11	C16
Cell-7046	P11	C53
Cell-7048	P11	C58
Cell-7063	P11	C9
Cell-7074	P11	C54
Cell-7092	P11	C21
Cell-7101	P11	C18
Cell-7115	P11	C54
Cell-7116	P11	C14
Cell-7121	P11	C17
Cell-7122	P11	C10
Cell-7131	P11	C46
Cell-7132	P11	C23
Cell-7133	P11	C54
Cell-7168	P11	C9
Cell-7173	P11	C37
Cell-7175	P11	C10
Cell-7186	P11	C18
Cell-7187	P11	C1
Cell-7197	P11	C54
Cell-7199	P11	C1
Cell-7200	P11	C9
Cell-7201	P11	C13
Cell-7210	P11	C32
Cell-7217	P11	C40
Cell-7218	P11	C53
Cell-7226	P11	C47
Cell-7248	P11	C10
Cell-7250	P11	C53
Cell-7261	P11	C56
Cell-7262	P11	C1
Cell-7264	P11	C24
Cell-7267	P11	C1
Cell-7270	P11	C17
Cell-7282	P11	C13
Cell-7286	P11	C33
Cell-7288	P11	C18
Cell-7304	P11	C18
Cell-7305	P11	C34
Cell-7306	P11	C14
Cell-7320	P11	C9
Cell-7321	P11	C41
Cell-7346	P11	C23
Cell-7348	P11	C27
Cell-7350	P11	C54
Cell-7360	P11	C8
Cell-7365	P11	C10
Cell-7368	P11	C18
Cell-7380	P11	C21
Cell-7381	P11	C9
Cell-7386	P11	C18
Cell-7399	P11	C13
Cell-7417	P11	C25
Cell-7418	P11	C1
Cell-7419	P11	C8
Cell-7422	P11	C24
Cell-7423	P11	C40
Cell-7424	P11	C8
Cell-7441	P11	C55
Cell-7443	P11	C1
Cell-7446	P11	C41
Cell-7447	P11	C27
Cell-7462	P11	C3
Cell-7487	P11	C9
Cell-7489	P11	C11
Cell-7491	P11	C13
Cell-7495	P11	C16
Cell-7512	P11	C8
Cell-7542	P11	C16
Cell-7545	P11	C25
Cell-7556	P11	C20
Cell-7574	P11	C19
Cell-7593	P11	C36
Cell-7609	P11	C9
Cell-7611	P11	C20
Cell-7612	P11	C18
Cell-7615	P11	C31
Cell-7619	P11	C5
Cell-7620	P11	C18
Cell-7636	P11	C20
Cell-7637	P11	C8
Cell-7638	P11	C18
Cell-7639	P11	C30
Cell-7640	P11	C1
Cell-7644	P11	C8
Cell-7648	P11	C31
Cell-7659	P11	C54
Cell-7664	P11	C26
Cell-7665	P11	C34
Cell-7676	P11	C28
Cell-7677	P11	C18
Cell-7679	P11	C18
Cell-7683	P11	C24
Cell-7684	P11	C13
Cell-7685	P11	C23
Cell-7701	P11	C14
Cell-7702	P11	C9
Cell-7704	P11	C4
Cell-7709	P11	C1
Cell-7722	P11	C24
Cell-7724	P11	C29
Cell-7726	P11	C8
Cell-7731	P11	C29
Cell-7743	P11	C21
Cell-7744	P11	C4
Cell-7759	P11	C53
Cell-7763	P11	C14
Cell-7765	P11	C39
Cell-7766	P11	C1
Cell-7775	P11	C54
Cell-7776	P11	C14
Cell-7794	P11	C27
Cell-7799	P11	C3
Cell-7801	P11	C9
Cell-7802	P11	C14
Cell-7815	P11	C41
Cell-7838	P11	C13
Cell-7843	P11	C17
Cell-7861	P11	C17
Cell-7862	P11	C18
Cell-7868	P11	C33
Cell-7884	P11	C12
Cell-7886	P11	C25
Cell-7887	P11	C8
Cell-7888	P11	C1
Cell-7889	P11	C12
Cell-7892	P11	C55
Cell-7893	P11	C26
Cell-7895	P11	C18
Cell-7896	P11	C54
Cell-7907	P11	C32
Cell-7908	P11	C53
Cell-7913	P11	C16
Cell-7922	P11	C11
Cell-7923	P11	C37
Cell-7930	P11	C41
Cell-7945	P11	C10
Cell-7962	P11	C4
Cell-7964	P11	C41
Cell-7977	P11	C53
Cell-7978	P11	C4
Cell-7981	P11	C8
Cell-7982	P11	C18
Cell-7993	P11	C28
Cell-7994	P11	C53
Cell-8003	P11	C54
Cell-8004	P11	C23
Cell-8019	P11	C12
Cell-8020	P11	C49
Cell-8021	P11	C12
Cell-8022	P11	C4
Cell-8024	P11	C1
Cell-8056	P11	C25
Cell-8057	P11	C54
Cell-8061	P11	C4
Cell-8075	P11	C1
Cell-8078	P11	C44
Cell-8081	P11	C12
Cell-8082	P11	C9
Cell-8096	P11	C8
Cell-8118	P11	C3
Cell-8122	P11	C55
Cell-8131	P11	C38
Cell-8133	P11	C16
Cell-8136	P11	C33
Cell-8155	P11	C54
Cell-8161	P11	C43
Cell-8178	P11	C31
Cell-8180	P11	C3
Cell-8189	P11	C8
Cell-8199	P11	C21
Cell-8200	P11	C53
Cell-8201	P11	C8
Cell-8222	P11	C41
Cell-8229	P11	C1
Cell-8231	P11	C55
Cell-8233	P11	C21
Cell-8247	P11	C8
Cell-8248	P11	C18
Cell-8267	P11	C23
Cell-8268	P11	C4
Cell-8272	P11	C32
Cell-8290	P11	C12
Cell-8299	P11	C50
Cell-8300	P11	C53
Cell-8302	P11	C21
Cell-8305	P11	C26
Cell-8319	P11	C22
Cell-8321	P11	C8
Cell-8325	P11	C3
Cell-8326	P11	C31
Cell-8327	P11	C26
Cell-8342	P11	C18
Cell-8346	P11	C1
Cell-8366	P11	C18
Cell-8368	P11	C22
Cell-8369	P11	C3
Cell-8376	P11	C31
Cell-8377	P11	C12
Cell-8378	P11	C8
Cell-8379	P11	C8
Cell-8385	P11	C18
Cell-8388	P11	C30
Cell-8389	P11	C24
Cell-8407	P11	C12
Cell-8422	P11	C12
Cell-8423	P11	C4
Cell-8424	P11	C9
Cell-8440	P11	C12
Cell-8441	P11	C12
Cell-8445	P11	C13
Cell-8446	P11	C41
Cell-8452	P11	C8
Cell-8469	P11	C26
Cell-8472	P11	C54
Cell-8474	P11	C27
Cell-8484	P11	C30
Cell-8486	P11	C21
Cell-8487	P11	C3
Cell-8488	P11	C16
Cell-8491	P11	C8
Cell-8493	P11	C25
Cell-8495	P11	C12
Cell-8505	P11	C12
Cell-8507	P11	C24
Cell-8509	P11	C8
Cell-8513	P11	C8
Cell-8523	P11	C58
Cell-8527	P11	C3
Cell-8528	P11	C4
Cell-8538	P11	C4
Cell-8540	P11	C21
Cell-8549	P11	C37
Cell-8551	P11	C18
Cell-8553	P11	C24
Cell-8568	P11	C24
Cell-8569	P11	C12
Cell-8570	P11	C8
Cell-8581	P11	C8
Cell-8582	P11	C21
Cell-8584	P11	C8
Cell-8585	P11	C9
Cell-8586	P11	C11
Cell-8587	P11	C32
Cell-8588	P11	C25
Cell-8589	P11	C30
Cell-8592	P11	C9
Cell-8593	P11	C9
Cell-8594	P11	C17
Cell-8604	P11	C42
Cell-8606	P11	C1
Cell-8620	P11	C30
Cell-8621	P11	C26
Cell-8637	P11	C46
Cell-8638	P11	C21
Cell-8639	P11	C21
Cell-8640	P11	C12
Cell-8646	P11	C34
Cell-8650	P11	C12
Cell-8652	P11	C11
Cell-8661	P11	C11
Cell-8667	P11	C54
Cell-8668	P11	C16
Cell-8682	P11	C8
Cell-8683	P11	C16
Cell-8691	P11	C29
Cell-8692	P11	C47
Cell-8693	P11	C8
Cell-8696	P11	C53
Cell-8703	P11	C53
Cell-8706	P11	C4
Cell-8712	P11	C27
Cell-8713	P11	C30
Cell-8715	P11	C42
Cell-8717	P11	C20
Cell-8720	P11	C26
Cell-8731	P11	C54
Cell-8750	P11	C55
Cell-8762	P11	C16
Cell-8763	P11	C11
Cell-8778	P11	C9
Cell-8780	P11	C41
Cell-8791	P11	C23
Cell-8792	P11	C9
Cell-8793	P11	C3
Cell-8794	P11	C8
Cell-8795	P11	C8
Cell-8807	P11	C53
Cell-8809	P11	C8
Cell-8810	P11	C22
Cell-8814	P11	C24
Cell-8822	P11	C3
Cell-8823	P11	C12
Cell-8826	P11	C20
Cell-8828	P11	C1
Cell-8830	P11	C36
Cell-8834	P11	C17
Cell-8844	P11	C41
Cell-8847	P11	C20
Cell-8849	P11	C11
Cell-8852	P11	C20
Cell-8864	P11	C53
Cell-8865	P11	C55
Cell-8866	P11	C18
Cell-8888	P11	C8
Cell-8889	P11	C53
Cell-8890	P11	C3
Cell-8893	P11	C12
Cell-8910	P11	C22
Cell-8927	P11	C43
Cell-8945	P11	C34
Cell-8959	P11	C56
Cell-8976	P11	C1
Cell-8989	P11	C12
Cell-9000	P11	C43
Cell-9003	P11	C26
Cell-9004	P11	C30
Cell-9005	P11	C30
Cell-9006	P11	C12
Cell-9014	P11	C11
Cell-9015	P11	C16
Cell-9018	P11	C3
Cell-9036	P11	C12
Cell-9048	P11	C3
Cell-9056	P11	C3
Cell-9084	P11	C43
Cell-9085	P11	C13
Cell-9086	P11	C1
Cell-9088	P11	C8
Cell-9089	P11	C11
Cell-9090	P11	C55
Cell-9099	P11	C20
Cell-9106	P11	C12
Cell-9107	P11	C8
Cell-9109	P11	C4
Cell-9126	P11	C12
Cell-9130	P11	C8
Cell-9132	P11	C3
Cell-9139	P11	C30
Cell-9140	P11	C3
Cell-9141	P11	C33
Cell-9143	P11	C11
Cell-9151	P11	C12
Cell-9153	P11	C9
Cell-9154	P11	C12
Cell-9155	P11	C21
Cell-9158	P11	C12
Cell-9159	P11	C22
Cell-9171	P11	C11
Cell-9174	P11	C11
Cell-9177	P11	C23
Cell-9178	P11	C9
Cell-9186	P11	C41
Cell-9188	P11	C21
Cell-9189	P11	C30
Cell-9190	P11	C8
Cell-9196	P11	C9
Cell-9207	P11	C21
Cell-9208	P11	C24
Cell-9209	P11	C24
Cell-9210	P11	C41
Cell-9211	P11	C12
Cell-9239	P11	C8
Cell-9253	P11	C3
Cell-9255	P11	C12
Cell-9257	P11	C35
Cell-9261	P11	C21
Cell-9262	P11	C1
Cell-9275	P11	C20
Cell-9281	P11	C34
Cell-9283	P11	C12
Cell-9293	P11	C53
Cell-9294	P11	C12
Cell-9295	P11	C31
Cell-9299	P11	C18
Cell-9301	P11	C26
Cell-9302	P11	C8
Cell-9305	P11	C8
Cell-9306	P11	C30
Cell-9316	P11	C4
Cell-9317	P11	C54
Cell-9320	P11	C4
Cell-9331	P11	C53
Cell-9332	P11	C18
Cell-9346	P11	C13
Cell-9349	P11	C46
Cell-9350	P11	C3
Cell-9351	P11	C33
Cell-9352	P11	C4
Cell-9360	P11	C54
Cell-9361	P11	C21
Cell-9362	P11	C24
Cell-9364	P11	C13
Cell-9365	P11	C8
Cell-9366	P11	C3
Cell-9373	P11	C40
Cell-9374	P11	C55
Cell-9376	P11	C13
Cell-9377	P11	C8
Cell-9378	P11	C4
Cell-9379	P11	C3
Cell-9382	P11	C9
Cell-9397	P11	C8
Cell-9398	P11	C12
Cell-9399	P11	C8
Cell-9404	P11	C9
Cell-9407	P11	C12
Cell-9414	P11	C33
Cell-9415	P11	C52
Cell-9426	P11	C29
Cell-9427	P11	C30
Cell-9429	P11	C11
Cell-9430	P11	C53
Cell-9437	P11	C1
Cell-9438	P11	C3
Cell-9439	P11	C13
Cell-9447	P11	C11
Cell-9449	P11	C18
Cell-9450	P11	C9
Cell-9451	P11	C20
Cell-9453	P11	C3
Cell-9468	P11	C11
Cell-9469	P11	C31
Cell-9470	P11	C16
Cell-9482	P11	C14
Cell-9491	P11	C23
Cell-9496	P11	C16
Cell-9498	P11	C4
Cell-9500	P11	C9
Cell-9509	P11	C26
Cell-9511	P11	C43
Cell-9512	P11	C21
Cell-9513	P11	C16
Cell-9530	P11	C21
Cell-9531	P11	C22
Cell-9538	P11	C53
Cell-9540	P11	C45
Cell-9541	P11	C12
Cell-9557	P11	C8
Cell-9558	P11	C47
Cell-9559	P11	C53
Cell-9561	P11	C55
Cell-9570	P11	C21
Cell-9580	P11	C35
Cell-9581	P11	C19
Cell-9582	P11	C3
Cell-9583	P11	C22
Cell-9584	P11	C9
Cell-9585	P11	C9
Cell-9587	P11	C1
Cell-9589	P11	C41
Cell-9590	P11	C14
Cell-9591	P11	C8
Cell-9592	P11	C1
Cell-9593	P11	C18
Cell-9609	P11	C10
Cell-9610	P11	C53
Cell-9624	P11	C8
Cell-9625	P11	C16
Cell-9626	P11	C4
Cell-9627	P11	C12
Cell-9629	P11	C8
Cell-9630	P11	C21
Cell-9631	P11	C26
Cell-9646	P11	C18
Cell-9647	P11	C1
Cell-9648	P11	C36
Cell-9652	P11	C1
Cell-9664	P11	C24
Cell-9665	P11	C3
Cell-9668	P11	C3
Cell-9669	P11	C36
Cell-9672	P11	C54
Cell-9681	P11	C12
Cell-9682	P11	C12
Cell-9701	P11	C4
Cell-9702	P11	C4
Cell-9718	P11	C8
Cell-9719	P11	C53
Cell-9723	P11	C38
Cell-9737	P11	C22
Cell-9739	P11	C12
Cell-9750	P11	C55
Cell-9751	P11	C23
Cell-9752	P11	C10
Cell-9760	P11	C26
Cell-9761	P11	C11
Cell-9763	P11	C3
Cell-9765	P11	C8
Cell-9777	P11	C3
Cell-9781	P11	C22
Cell-9785	P11	C33
Cell-9787	P11	C3
Cell-9802	P11	C12
Cell-9803	P11	C55
Cell-9805	P11	C12
Cell-9806	P11	C3
Cell-9812	P11	C11
Cell-9827	P11	C40
Cell-9832	P11	C35
Cell-9833	P11	C12
Cell-9834	P11	C34
Cell-9835	P11	C12
Cell-9836	P11	C4
Cell-9838	P11	C3
Cell-9839	P11	C4
Cell-9840	P11	C54
Cell-9841	P11	C41
Cell-9846	P11	C4
Cell-9861	P11	C26
Cell-9875	P11	C12
Cell-9880	P11	C30
Cell-9881	P11	C12
Cell-9882	P11	C27
Cell-9898	P11	C24
Cell-9899	P11	C12
Cell-9903	P11	C31
Cell-9905	P11	C54
Cell-9914	P11	C23
Cell-9923	P11	C31
Cell-9940	P11	C12
Cell-9941	P11	C54
Cell-9944	P11	C23
Cell-9952	P11	C53
Cell-9956	P11	C20
Cell-9958	P11	C12
Cell-9978	P11	C31
Cell-9985	P11	C21
Cell-9997	P11	C8
Cell-10001	P11	C17
Cell-10002	P11	C31
Cell-10015	P11	C8
Cell-10017	P11	C12
Cell-10020	P11	C20
Cell-10022	P11	C10
Cell-10023	P11	C40
Cell-10034	P11	C3
Cell-10038	P11	C20
Cell-10047	P11	C1
Cell-10048	P11	C3
Cell-10049	P11	C53
Cell-10052	P11	C8
Cell-10056	P11	C16
Cell-10057	P11	C27
Cell-10058	P11	C12
Cell-10059	P11	C37
Cell-10060	P11	C12
Cell-10069	P11	C20
Cell-10071	P11	C22
Cell-10074	P11	C21
Cell-10075	P11	C12
Cell-10076	P11	C22
Cell-10077	P11	C47
Cell-10086	P11	C53
Cell-10090	P11	C8
Cell-10093	P11	C12
Cell-10094	P11	C9
Cell-10112	P11	C23
Cell-10113	P11	C41
Cell-10117	P11	C52
Cell-10119	P11	C31
Cell-10132	P11	C23
Cell-10133	P11	C14
Cell-10135	P11	C27
Cell-10150	P11	C21
Cell-10153	P11	C41
Cell-10154	P11	C34
Cell-10168	P11	C14
Cell-10169	P11	C8
Cell-10170	P11	C54
Cell-10180	P11	C9
Cell-10197	P11	C11
Cell-10198	P11	C13
Cell-10221	P11	C23
Cell-10223	P11	C36
Cell-10226	P11	C24
Cell-10227	P11	C21
Cell-10249	P11	C53
Cell-10253	P11	C37
Cell-10254	P11	C55
Cell-10256	P11	C12
Cell-10272	P11	C8
Cell-10277	P11	C17
Cell-10279	P11	C23
Cell-10281	P11	C14
Cell-10296	P11	C1
Cell-10297	P11	C27
Cell-10298	P11	C3
Cell-10302	P11	C53
Cell-10309	P11	C16
Cell-10310	P11	C12
Cell-10320	P11	C38
Cell-10322	P11	C13
Cell-10323	P11	C24
Cell-10324	P11	C11
Cell-10327	P11	C54
Cell-10328	P11	C3
Cell-10329	P11	C23
Cell-10336	P11	C8
Cell-10352	P11	C25
Cell-10364	P11	C11
Cell-10365	P11	C3
Cell-10368	P11	C9
Cell-10378	P11	C42
Cell-10379	P11	C18
Cell-10380	P11	C31
Cell-10381	P11	C26
Cell-10400	P11	C21
Cell-10401	P11	C1
Cell-10415	P11	C53
Cell-10431	P11	C55
Cell-10433	P11	C53
Cell-10434	P11	C9
Cell-10445	P11	C8
Cell-10451	P11	C30
Cell-10453	P11	C11
Cell-10455	P11	C53
Cell-10484	P11	C11
Cell-10487	P11	C8
Cell-10488	P11	C20
Cell-10498	P11	C27
Cell-10503	P11	C3
Cell-10506	P11	C27
Cell-10508	P11	C4
Cell-10532	P11	C24
Cell-10533	P11	C41
Cell-10535	P11	C25
Cell-10536	P11	C36
Cell-10542	P11	C8
Cell-10558	P11	C9
Cell-10559	P11	C11
Cell-10562	P11	C54
Cell-10573	P11	C53
Cell-10574	P11	C14
Cell-10579	P11	C22
Cell-10580	P11	C1
Cell-10582	P11	C8
Cell-10583	P11	C9
Cell-10596	P11	C30
Cell-10597	P11	C8
Cell-10600	P11	C40
Cell-10601	P11	C8
Cell-10617	P11	C11
Cell-10626	P11	C53
Cell-10647	P11	C4
Cell-10649	P11	C18
Cell-10671	P11	C9
Cell-10672	P11	C1
Cell-10674	P11	C18
Cell-10675	P11	C23
Cell-10685	P11	C8
Cell-10686	P11	C8
Cell-10687	P11	C12
Cell-10690	P11	C20
Cell-10702	P11	C47
Cell-10705	P11	C24
Cell-10706	P11	C55
Cell-10707	P11	C12
Cell-10708	P11	C31
Cell-10709	P11	C53
Cell-10710	P11	C12
Cell-10722	P11	C29
Cell-10746	P11	C16
Cell-10758	P11	C3
Cell-10759	P11	C40
Cell-10760	P11	C9
Cell-10764	P11	C8
Cell-10765	P11	C33
Cell-10776	P11	C5
Cell-10777	P11	C40
Cell-10778	P11	C56
Cell-10789	P11	C16
Cell-10790	P11	C36
Cell-10791	P11	C8
Cell-10803	P11	C11
Cell-10804	P11	C9
Cell-10806	P11	C16
Cell-10809	P11	C3
Cell-10810	P11	C3
Cell-10813	P11	C4
Cell-10814	P11	C8
Cell-10832	P11	C12
Cell-10834	P11	C37
Cell-10837	P11	C26
Cell-10842	P11	C53
Cell-10845	P11	C8
Cell-10846	P11	C54
Cell-10847	P11	C42
Cell-10861	P11	C10
Cell-10865	P11	C1
Cell-10871	P11	C16
Cell-10888	P11	C11
Cell-10889	P11	C54
Cell-10890	P11	C9
Cell-10908	P11	C55
Cell-10912	P11	C8
Cell-10913	P11	C12
Cell-10929	P11	C10
Cell-10930	P11	C28
Cell-10931	P11	C24
Cell-10934	P11	C29
Cell-10935	P11	C41
Cell-10937	P11	C53
Cell-10939	P11	C3
Cell-10970	P11	C8
Cell-10972	P11	C16
Cell-10974	P11	C3
Cell-10976	P11	C8
Cell-10977	P11	C3
Cell-10978	P11	C16
Cell-10980	P11	C30
Cell-10997	P11	C3
Cell-10998	P11	C31
Cell-10999	P11	C21
Cell-11003	P11	C53
Cell-11004	P11	C53
Cell-11005	P11	C11
Cell-11006	P11	C31
Cell-11020	P11	C8
Cell-11023	P11	C42
Cell-11027	P11	C1
Cell-11049	P11	C1
Cell-11052	P11	C16
Cell-11055	P11	C12
Cell-11060	P11	C35
Cell-11078	P11	C16
Cell-11080	P11	C3
Cell-11083	P11	C21
Cell-11097	P11	C50
Cell-11104	P11	C8
Cell-11111	P11	C4
Cell-11112	P11	C11
Cell-11115	P11	C12
Cell-11117	P11	C12
Cell-11121	P11	C41
Cell-11123	P11	C37
Cell-11125	P11	C53
Cell-11142	P11	C8
Cell-11147	P11	C22
Cell-11156	P11	C8
Cell-11158	P11	C8
Cell-11161	P11	C14
Cell-11162	P11	C8
Cell-11164	P11	C41
Cell-11165	P11	C1
Cell-11179	P11	C30
Cell-11185	P11	C16
Cell-11186	P11	C31
Cell-11188	P11	C12
Cell-11203	P11	C53
Cell-11206	P11	C11
Cell-11207	P11	C9
Cell-11208	P11	C31
Cell-11209	P11	C11
Cell-11210	P11	C35
Cell-11226	P11	C1
Cell-11228	P11	C16
Cell-11229	P11	C3
Cell-11230	P11	C3
Cell-11231	P11	C12
Cell-11232	P11	C16
Cell-11233	P11	C4
Cell-11246	P11	C20
Cell-11247	P11	C41
Cell-11248	P11	C54
Cell-11252	P11	C9
Cell-11275	P11	C1
Cell-11279	P11	C1
Cell-11283	P11	C9
Cell-11284	P11	C40
Cell-11285	P11	C39
Cell-11286	P11	C21
Cell-11302	P11	C4
Cell-11303	P11	C8
Cell-11304	P11	C3
Cell-11309	P11	C24
Cell-11310	P11	C9
Cell-11311	P11	C19
Cell-11331	P11	C17
Cell-11334	P11	C16
Cell-11335	P11	C19
Cell-11336	P11	C21
Cell-11337	P11	C54
Cell-11338	P11	C20
Cell-11339	P11	C27
Cell-11353	P11	C53
Cell-11364	P11	C12
Cell-11365	P11	C3
Cell-11366	P11	C30
Cell-11378	P11	C55
Cell-11383	P11	C12
Cell-11384	P11	C36
Cell-11404	P11	C21
Cell-11409	P11	C36
Cell-11419	P11	C30
Cell-11421	P11	C4
Cell-11433	P11	C8
Cell-11434	P11	C18
Cell-11436	P11	C49
Cell-11439	P11	C20
Cell-11442	P11	C1
Cell-11465	P11	C3
Cell-11467	P11	C12
Cell-11472	P11	C25
Cell-11475	P11	C44
Cell-11492	P11	C11
Cell-11503	P11	C23
Cell-11504	P11	C26
Cell-11505	P11	C51
Cell-11508	P11	C4
Cell-11510	P11	C54
Cell-11534	P11	C12
Cell-11536	P11	C9
Cell-11549	P11	C35
Cell-11552	P11	C54
Cell-11555	P11	C4
Cell-11558	P11	C12
Cell-11560	P11	C32
Cell-11574	P11	C37
Cell-11581	P11	C3
Cell-11582	P11	C29
Cell-11584	P11	C31
Cell-11594	P11	C26
Cell-11595	P11	C54
Cell-11597	P11	C4
Cell-11609	P11	C16
Cell-11633	P11	C12
Cell-11637	P11	C53
Cell-11652	P11	C54
Cell-11654	P11	C9
Cell-11656	P11	C8
Cell-11658	P11	C31
Cell-11659	P11	C20
Cell-11660	P11	C35
Cell-11677	P11	C54
Cell-11680	P11	C18
Cell-11681	P11	C3
Cell-11691	P11	C53
Cell-11693	P11	C20
Cell-11695	P11	C8
Cell-11710	P11	C8
Cell-11716	P11	C20
Cell-11720	P11	C8
Cell-11721	P11	C24
Cell-11731	P11	C18
Cell-11733	P11	C4
Cell-11734	P11	C12
Cell-11740	P11	C4
Cell-11743	P11	C8
Cell-11756	P11	C8
Cell-11757	P11	C8
Cell-11765	P11	C13
Cell-11767	P11	C21
Cell-11768	P11	C31
Cell-11779	P11	C53
Cell-11780	P11	C21
Cell-11784	P11	C13
Cell-11787	P11	C21
Cell-11790	P11	C8
Cell-11793	P11	C8
Cell-11800	P11	C1
Cell-11804	P11	C18
Cell-11807	P11	C34
Cell-11811	P11	C3
Cell-11820	P11	C14
Cell-11821	P11	C16
Cell-11825	P11	C53
Cell-11826	P11	C55
Cell-11844	P11	C10
Cell-11848	P11	C3
Cell-11857	P11	C14
Cell-11859	P11	C37
Cell-11860	P11	C4
Cell-11862	P11	C9
Cell-11863	P11	C53
Cell-11865	P11	C54
Cell-11867	P11	C54
Cell-11877	P11	C1
Cell-11881	P11	C32
Cell-11882	P11	C33
Cell-11892	P11	C4
Cell-11897	P11	C12
Cell-11898	P11	C40
Cell-11899	P11	C13
Cell-11909	P11	C3
Cell-11910	P11	C22
Cell-11913	P11	C18
Cell-11932	P11	C11
Cell-11933	P11	C11
Cell-11934	P11	C32
Cell-11939	P11	C13
Cell-11940	P11	C10
Cell-11941	P11	C33
Cell-11942	P11	C3
Cell-11944	P11	C8
Cell-11946	P11	C3
Cell-11955	P11	C12
Cell-11958	P11	C25
Cell-11971	P11	C53
Cell-11973	P11	C31
Cell-11979	P11	C14
Cell-11992	P11	C53
Cell-11993	P11	C54
Cell-11994	P11	C8
Cell-12002	P11	C53
Cell-12017	P11	C17
Cell-12029	P11	C4
Cell-12030	P11	C53
Cell-12043	P11	C4
Cell-12044	P11	C1
Cell-12046	P11	C10
Cell-12062	P11	C10
Cell-12072	P11	C53
Cell-12073	P11	C3
Cell-12077	P11	C9
Cell-12092	P11	C12
Cell-12093	P11	C16
Cell-12094	P11	C1
Cell-12096	P11	C11
Cell-12100	P11	C13
Cell-12120	P11	C35
Cell-12121	P11	C24
Cell-12127	P11	C3
Cell-12143	P11	C12
Cell-12144	P11	C12
Cell-12146	P11	C54
Cell-12165	P11	C8
Cell-12167	P11	C18
Cell-12172	P11	C53
Cell-12178	P11	C9
Cell-12185	P11	C25
Cell-12217	P11	C53
Cell-12234	P11	C9
Cell-12256	P11	C8
Cell-12257	P11	C53
Cell-12259	P11	C4
Cell-12262	P11	C4
Cell-12270	P11	C9
Cell-12272	P11	C13
Cell-12276	P11	C54
Cell-12282	P11	C16
Cell-12283	P11	C40
Cell-12284	P11	C55
Cell-12285	P11	C36
Cell-12287	P11	C16
Cell-12288	P11	C4
Cell-12303	P11	C13
Cell-12326	P11	C12
Cell-12347	P11	C54
Cell-12348	P11	C53
Cell-12370	P11	C8
Cell-12372	P11	C3
Cell-12379	P11	C53
Cell-12380	P11	C1
Cell-12384	P11	C1
Cell-12386	P11	C5
Cell-12398	P11	C18
Cell-12400	P11	C1
Cell-12409	P11	C18
Cell-12412	P11	C1
Cell-12413	P11	C53
Cell-12416	P11	C54
Cell-12431	P11	C8
Cell-12446	P11	C37
Cell-12447	P11	C1
Cell-12449	P11	C25
Cell-12450	P11	C11
Cell-12455	P11	C14
Cell-12457	P11	C26
Cell-12458	P11	C10
Cell-12464	P11	C5
Cell-12478	P11	C37
Cell-12480	P11	C32
Cell-12491	P11	C5
Cell-12492	P11	C14
Cell-12494	P11	C8
Cell-12511	P11	C52
Cell-12512	P11	C54
Cell-12529	P11	C24
Cell-12531	P11	C10
Cell-12534	P11	C8
Cell-12570	P11	C12
Cell-12597	P11	C10
Cell-12599	P11	C8
Cell-12619	P11	C41
Cell-12630	P11	C8
Cell-12632	P11	C8
Cell-12633	P11	C11
Cell-12646	P11	C8
Cell-12648	P11	C1
Cell-12667	P11	C11
Cell-12668	P11	C3
Cell-12670	P11	C18
Cell-12680	P11	C12
Cell-12682	P11	C27
Cell-12683	P11	C20
Cell-12684	P11	C12
Cell-12688	P11	C22
Cell-12701	P11	C53
Cell-12703	P11	C31
Cell-12704	P11	C54
Cell-12705	P11	C27
Cell-12706	P11	C11
Cell-12708	P11	C3
Cell-12713	P11	C18
Cell-12724	P11	C18
Cell-12725	P11	C45
Cell-12726	P11	C53
Cell-12729	P11	C12
Cell-12743	P11	C12
Cell-12765	P11	C10
Cell-12769	P11	C4
Cell-12771	P11	C3
Cell-12773	P11	C9
Cell-12788	P11	C11
Cell-12796	P11	C44
Cell-12797	P11	C14
Cell-12806	P11	C41
Cell-12807	P11	C9
Cell-12814	P11	C9
Cell-12816	P11	C3
Cell-12821	P11	C10
Cell-12823	P11	C19
Cell-12837	P11	C54
Cell-12841	P11	C8
Cell-12842	P11	C41
Cell-12844	P11	C16
Cell-12845	P11	C55
Cell-12847	P11	C30
Cell-12849	P11	C1
Cell-12854	P11	C26
Cell-12866	P11	C4
Cell-12867	P11	C31
Cell-12880	P11	C53
Cell-12882	P11	C9
Cell-12883	P11	C30
Cell-12886	P11	C10
Cell-12906	P11	C19
Cell-12925	P11	C33
Cell-12935	P11	C5
Cell-12936	P11	C1
Cell-12938	P11	C13
